n,0.5,0.2,0.1,0.05,0.02,0.01,0.005,0.0001
4,2,0,x,x,x,x,x,x
5,4,2,0,x,x,x,x,x
6,6,3,2,0,x,x,x,x
7,9,5,3,2,0,x,x,x
8,12,8,5,3,1,0,x,x
9,16,10,8,5,3,1,0,x
10,20,14,10,8,5,3,1,x
11,24,17,13,10,7,5,3,0
12,29,21,17,13,9,7,5,1
13,35,26,21,17,12,9,7,2
14,40,31,25,21,15,12,9,4
15,47,36,30,25,19,15,12,6
16,54,42,35,29,23,19,15,8
17,61,48,41,34,27,23,19,11
18,69,55,47,40,32,27,23,14
19,77,62,53,46,37,32,27,18
20,86,69,60,52,43,37,32,21
21,95,77,67,58,49,42,37,25
22,104,86,75,65,55,48,42,30
23,114,94,83,73,62,54,48,35
24,125,104,91,81,69,61,54,40
25,136,113,100,89,76,68,60,45
26,148,124,110,98,84,75,67,51
27,160,134,119,107,92,83,74,57
28,172,145,130,116,101,91,82,64
29,185,157,140,126,110,100,90,71
30,198,169,151,137,120,109,98,78
31,212,181,163,147,130,118,107,86
32,226,194,175,159,140,128,116,94
33,241,207,187,170,151,138,126,102
34,257,221,200,182,162,148,136,111
35,272,235,213,195,173,159,146,120
36,289,250,227,208,185,171,157,130
37,305,265,241,221,198,182,168,140
38,323,281,256,235,211,194,180,150
39,340,297,271,249,224,207,192,161
40,358,313,286,264,238,220,204,172
41,377,330,302,279,252,233,217,183
42,396,348,319,294,266,247,230,195
43,416,365,336,310,281,261,244,207
44,436,384,353,327,296,276,258,220
45,456,402,371,343,312,291,272,233
46,477,422,389,361,328,307,287,246
47,499,441,407,378,345,322,302,260
48,521,462,426,396,362,339,318,274
49,543,482,446,415,379,355,334,289
50,566,503,466,434,397,373,350,304
51,590,525,486,453,416,390,367,319
52,613,547,507,473,434,408,384,335
53,638,569,529,494,454,427,402,351
54,668,592,550,514,473,445,420,368
55,688,615,573,536,493,465,438,385
56,714,639,595,557,514,484,457,402
57,740,664,618,579,535,504,477,420
58,767,688,642,602,556,525,497,438
59,794,714,666,625,578,546,517,457
60,822,739,690,648,600,567,537,476
61,850,765,715,672,623,589,558,495
62,879,792,741,697,646,611,580,515
63,908,819,767,721,669,634,602,535
64,938,847,793,747,693,657,624,556
65,968,875,820,772,718,681,647,577
66,998,903,847,798,742,705,670,599
67,1029,932,875,825,768,729,694,621
68,1061,962,903,852,793,754,718,643
69,1093,992,931,879,819,779,742,666
70,1126,1022,960,907,846,805,767,689
71,1159,1053,990,936,873,831,792,712
72,1192,1084,1020,964,901,858,818,736
73,1226,1116,1050,994,928,884,844,761
74,1261,1148,1081,1023,957,912,871,786
75,1296,1181,1112,1053,986,940,898,811
76,1331,1214,1144,1084,1015,968,925,836
77,1367,1247,1176,1115,1044,997,953,862
78,1403,1282,1209,1147,1075,1026,981,889
79,1440,1316,1242,1179,1105,1056,1010,916
80,1478,1351,1276,1211,1136,1086,1039,943
81,1516,1387,1310,1244,1168,1116,1069,971
82,1554,1423,1345,1277,1200,1147,1099,999
83,1593,1459,1380,1311,1232,1178,1129,1028
84,1632,1496,1415,1345,1265,1210,1160,1057
85,1672,1533,1451,1380,1298,1242,1191,1086
86,1712,1571,1487,1415,1332,1275,1223,1116
87,1753,1609,1524,1451,1366,1308,1255,1146
88,1794,1648,1561,1487,1400,1342,1288,1177
89,1836,1688,1599,1523,1435,1376,1321,1208
90,1878,1727,1638,1560,1471,1410,1355,1240
91,1921,1767,1676,1597,1507,1445,1389,1271
92,1964,1808,1715,1635,1543,1480,1423,1304
93,2008,1849,1755,1674,1580,1516,1458,1337
94,2052,1891,1795,1712,1617,1552,1493,1370
95,2097,1933,1836,1752,1655,1589,1529,1404
96,2142,1976,1877,1791,1693,1626,1565,1438
97,2187,2019,1918,1832,1731,1664,1601,1472
98,2233,2062,1960,1872,1170,1702,1638,1507
99,2280,2106,2003,1913,1810,1740,1676,1543
100,2327,2151,2045,1955,1850,1779,1714,1578